peptide,gene_id,treatment,timepoint,bio_rep,abundance
pep_0053,gene_011,drug,0h,6,66.62668761408413
pep_0053,gene_011,drug,24h,1,77.22236804039457
pep_0053,gene_011,drug,24h,2,94.74422309338966
pep_0053,gene_011,drug,24h,3,120.74597123781909
pep_0053,gene_011,drug,24h,4,127.4807493922131
pep_0053,gene_011,drug,24h,5,115.56805313895714
pep_0053,gene_011,drug,24h,6,46.4153869956109
pep_0053,gene_011,drug,6h,1,84.2166039063463
pep_0053,gene_011,drug,6h,2,114.70121579043337
pep_0053,gene_011,drug,6h,3,92.15430867439251
pep_0053,gene_011,drug,6h,4,119.8818837454365
pep_0053,gene_011,drug,6h,5,134.5932579123203
pep_0053,gene_011,drug,6h,6,92.70313871858569
pep_0054,gene_011,ctrl,0h,1,233.530367015241
pep_0054,gene_011,ctrl,0h,2,127.44845100015996
pep_0054,gene_011,ctrl,0h,3,107.59390875050583
pep_0054,gene_011,ctrl,0h,4,164.47897318149282
pep_0054,gene_011,ctrl,0h,5,361.30128749455446
pep_0054,gene_011,ctrl,0h,6,97.72864180186926
pep_0054,gene_011,ctrl,24h,1,219.90000407044175
pep_0054,gene_011,ctrl,24h,2,170.05148510227647
pep_0054,gene_011,ctrl,24h,3,197.88879129480327
pep_0054,gene_011,ctrl,24h,4,227.5500942245969
pep_0054,gene_011,ctrl,24h,5,170.98466060987428
pep_0054,gene_011,ctrl,24h,6,176.736848564135
pep_0054,gene_011,ctrl,6h,1,179.46190748542182
pep_0054,gene_011,ctrl,6h,2,189.02450626981587
pep_0054,gene_011,ctrl,6h,3,175.53054699578607
pep_0054,gene_011,ctrl,6h,4,235.83969571309848
pep_0054,gene_011,ctrl,6h,5,122.30484122722441
pep_0054,gene_011,ctrl,6h,6,241.50291536260127
pep_0054,gene_011,drug,0h,1,245.33216484063493
pep_0054,gene_011,drug,0h,2,205.10995183833603
pep_0054,gene_011,drug,0h,3,182.73743264545703
pep_0054,gene_011,drug,0h,4,101.4816825669875
pep_0054,gene_011,drug,0h,5,73.22995012998427
pep_0054,gene_011,drug,0h,6,137.56947508756784
pep_0054,gene_011,drug,24h,1,257.10093527785943
pep_0054,gene_011,drug,24h,2,109.56722075404392
pep_0054,gene_011,drug,24h,3,132.83454604242627
pep_0054,gene_011,drug,24h,4,141.30762734482147
pep_0054,gene_011,drug,24h,5,270.2760935959773
pep_0054,gene_011,drug,24h,6,76.31074714608073
pep_0054,gene_011,drug,6h,1,55.32221761972679
pep_0054,gene_011,drug,6h,2,90.32412638172612
pep_0054,gene_011,drug,6h,3,189.4890038494514
pep_0054,gene_011,drug,6h,4,146.8895610972031
pep_0054,gene_011,drug,6h,5,214.41699829350523
pep_0054,gene_011,drug,6h,6,187.8664448948171
pep_0055,gene_011,ctrl,0h,1,92.68774534536901
pep_0055,gene_011,ctrl,0h,2,73.67688694790517
pep_0055,gene_011,ctrl,0h,3,91.71538149288263
pep_0055,gene_011,ctrl,0h,4,78.90248129713454
pep_0055,gene_011,ctrl,0h,5,71.09273618701208
pep_0055,gene_011,ctrl,0h,6,76.3737771329009
pep_0055,gene_011,ctrl,24h,1,149.1445380073523
pep_0055,gene_011,ctrl,24h,2,145.94494466251956
pep_0055,gene_011,ctrl,24h,3,91.2015655992217
pep_0055,gene_011,ctrl,24h,4,201.0887509260845
pep_0055,gene_011,ctrl,24h,5,78.07931735563903
pep_0055,gene_011,ctrl,24h,6,122.43371180203962
pep_0055,gene_011,ctrl,6h,1,136.17606479809194
pep_0055,gene_011,ctrl,6h,2,118.25495302768464
pep_0055,gene_011,ctrl,6h,3,74.93735106375351
pep_0055,gene_011,ctrl,6h,4,47.35586164666308
pep_0055,gene_011,ctrl,6h,5,108.36356760713711
pep_0055,gene_011,ctrl,6h,6,130.34896752975868
pep_0055,gene_011,drug,0h,1,128.13561208375452
pep_0055,gene_011,drug,0h,2,123.61744660448186
pep_0055,gene_011,drug,0h,3,66.26919708768483
pep_0055,gene_011,drug,0h,4,193.20268285484954
pep_0055,gene_011,drug,0h,5,191.3555370448137
pep_0055,gene_011,drug,0h,6,79.18830140378294
pep_0055,gene_011,drug,24h,1,80.01790214112631
pep_0055,gene_011,drug,24h,2,153.91797881811326
pep_0055,gene_011,drug,24h,3,115.14009863880597
pep_0055,gene_011,drug,24h,4,86.97144575431076
pep_0055,gene_011,drug,24h,5,77.0897177970706
pep_0055,gene_011,drug,24h,6,137.96021482581614
pep_0055,gene_011,drug,6h,1,28.101352458485245
pep_0055,gene_011,drug,6h,2,99.43174357669422
pep_0055,gene_011,drug,6h,3,116.98435943688341
pep_0055,gene_011,drug,6h,4,58.88728379079071
pep_0055,gene_011,drug,6h,5,92.87755878083206
pep_0055,gene_011,drug,6h,6,71.25876295811365
pep_0056,gene_012,ctrl,0h,1,53.21669221270068
pep_0056,gene_012,ctrl,0h,2,143.05318796394772
pep_0056,gene_012,ctrl,0h,3,93.04068380011907
pep_0056,gene_012,ctrl,0h,4,137.5431460752575
pep_0056,gene_012,ctrl,0h,5,106.95180993180176
pep_0056,gene_012,ctrl,0h,6,60.11234123158117
pep_0056,gene_012,ctrl,24h,1,170.71053873550122
pep_0056,gene_012,ctrl,24h,2,97.52065134747102
pep_0056,gene_012,ctrl,24h,3,66.87538050542162
pep_0056,gene_012,ctrl,24h,4,147.64907653860706
pep_0056,gene_012,ctrl,24h,5,113.57497970511386
pep_0056,gene_012,ctrl,24h,6,26.67250971998777
pep_0056,gene_012,ctrl,6h,1,104.44302996100544
pep_0056,gene_012,ctrl,6h,2,100.32282548716448
pep_0056,gene_012,ctrl,6h,3,114.44879809279054
pep_0056,gene_012,ctrl,6h,4,67.48443093721485
pep_0056,gene_012,ctrl,6h,5,209.45411684735623
pep_0056,gene_012,ctrl,6h,6,179.69812405548706
pep_0056,gene_012,drug,0h,1,101.21818902796142
pep_0056,gene_012,drug,0h,2,91.12786310641347
pep_0056,gene_012,drug,0h,3,90.55627229662602
pep_0056,gene_012,drug,0h,4,110.13553390062513
pep_0056,gene_012,drug,0h,5,108.1551909182712
pep_0056,gene_012,drug,0h,6,96.86767407764904
pep_0056,gene_012,drug,24h,1,71.87746374863437
pep_0056,gene_012,drug,24h,2,87.31055490093958
pep_0056,gene_012,drug,24h,3,111.1508929596356
pep_0056,gene_012,drug,24h,4,194.7357866265821
pep_0056,gene_012,drug,24h,5,87.99578252546762
pep_0056,gene_012,drug,24h,6,161.44954081307023
pep_0056,gene_012,drug,6h,1,129.00217032148893
pep_0056,gene_012,drug,6h,2,155.54135699744356
pep_0056,gene_012,drug,6h,3,93.05467444347944
pep_0056,gene_012,drug,6h,4,126.6685843913386
pep_0056,gene_012,drug,6h,5,65.89432627856047
pep_0056,gene_012,drug,6h,6,68.85814649028323
pep_0057,gene_012,ctrl,0h,1,80.39090342020116
pep_0057,gene_012,ctrl,0h,2,78.00413071402951
pep_0057,gene_012,ctrl,0h,3,106.0471493436094
pep_0057,gene_012,ctrl,0h,4,156.1229461500909
pep_0057,gene_012,ctrl,0h,5,86.19932480001623
pep_0057,gene_012,ctrl,0h,6,52.71093462950957
pep_0057,gene_012,ctrl,24h,1,110.83616721882063
pep_0057,gene_012,ctrl,24h,2,66.16842022034496
pep_0057,gene_012,ctrl,24h,3,93.14559383514342
pep_0057,gene_012,ctrl,24h,4,55.987210762820595
pep_0057,gene_012,ctrl,24h,5,101.16598035599075
pep_0057,gene_012,ctrl,24h,6,45.14215043104762
pep_0057,gene_012,ctrl,6h,1,96.29925075335426
pep_0057,gene_012,ctrl,6h,2,119.10527321136524
pep_0057,gene_012,ctrl,6h,3,98.90000975723702
pep_0057,gene_012,ctrl,6h,4,237.91579745997217
pep_0057,gene_012,ctrl,6h,5,64.81368290838004
pep_0057,gene_012,ctrl,6h,6,64.21831932784087
pep_0057,gene_012,drug,0h,1,87.85087035477935
pep_0057,gene_012,drug,0h,2,159.8158302810119
pep_0057,gene_012,drug,0h,3,134.67258496383755
pep_0057,gene_012,drug,0h,4,94.06443677634202
pep_0057,gene_012,drug,0h,5,72.26395326910249
pep_0057,gene_012,drug,0h,6,122.71408473588792
pep_0057,gene_012,drug,24h,1,85.37721505396193
pep_0057,gene_012,drug,24h,2,121.97845531058645
pep_0057,gene_012,drug,24h,3,178.48938478995976
pep_0057,gene_012,drug,24h,4,90.18101760903232
pep_0057,gene_012,drug,24h,5,149.0770755956802
pep_0057,gene_012,drug,24h,6,59.831318763593515
pep_0057,gene_012,drug,6h,1,82.32029359290455
pep_0057,gene_012,drug,6h,2,176.33590859997324
pep_0057,gene_012,drug,6h,3,110.19242958051136
pep_0057,gene_012,drug,6h,4,129.55795995279973
pep_0057,gene_012,drug,6h,5,196.08711368229945
pep_0057,gene_012,drug,6h,6,111.27986670257475
pep_0058,gene_012,ctrl,0h,1,34.09333547770352
pep_0058,gene_012,ctrl,0h,2,13.734550319502793
pep_0058,gene_012,ctrl,0h,3,45.607820709425226
pep_0058,gene_012,ctrl,0h,4,22.692179038423763
pep_0058,gene_012,ctrl,0h,5,64.71888972476233
pep_0058,gene_012,ctrl,0h,6,40.736933849121854
pep_0058,gene_012,ctrl,24h,1,NA
pep_0058,gene_012,ctrl,24h,2,41.87166173633848
pep_0058,gene_012,ctrl,24h,3,42.24902456016757
pep_0058,gene_012,ctrl,24h,4,NA
pep_0058,gene_012,ctrl,24h,5,28.391575111368685
pep_0058,gene_012,ctrl,24h,6,24.29312405620787
pep_0058,gene_012,ctrl,6h,1,36.1967441271457
pep_0058,gene_012,ctrl,6h,2,45.646163835389025
pep_0058,gene_012,ctrl,6h,3,65.0004593390426
pep_0058,gene_012,ctrl,6h,4,25.429407603835358
pep_0058,gene_012,ctrl,6h,5,23.443428869779936
pep_0058,gene_012,ctrl,6h,6,42.52650658713997
pep_0058,gene_012,drug,0h,1,54.596864428712806
pep_0058,gene_012,drug,0h,2,8.318075941505873
pep_0058,gene_012,drug,0h,3,20.224937273867106
pep_0058,gene_012,drug,0h,4,45.593234947204046
pep_0058,gene_012,drug,0h,5,55.63849834396546
pep_0058,gene_012,drug,0h,6,15.843339321873078
pep_0058,gene_012,drug,24h,1,106.94585374128783
pep_0058,gene_012,drug,24h,2,37.81903925318724
pep_0058,gene_012,drug,24h,3,30.676657911855035
pep_0058,gene_012,drug,24h,4,30.280839712402557
pep_0058,gene_012,drug,24h,5,40.701549500159246
pep_0058,gene_012,drug,24h,6,104.87109319231847
pep_0058,gene_012,drug,6h,1,29.909542415777164
pep_0058,gene_012,drug,6h,2,32.33171356362867
pep_0058,gene_012,drug,6h,3,39.99835332583927
pep_0058,gene_012,drug,6h,4,65.09636870518915
pep_0058,gene_012,drug,6h,5,22.633686694694415
pep_0058,gene_012,drug,6h,6,28.66915723466492
pep_0059,gene_012,ctrl,0h,1,102.3606110746565
pep_0059,gene_012,ctrl,0h,2,102.99373726892743
pep_0059,gene_012,ctrl,0h,3,279.37735500637257
pep_0059,gene_012,ctrl,0h,4,126.34199928358565
pep_0059,gene_012,ctrl,0h,5,216.5407202629189
pep_0059,gene_012,ctrl,0h,6,190.15712218974687
pep_0059,gene_012,ctrl,24h,1,151.81227320660435
pep_0059,gene_012,ctrl,24h,2,87.14513435157282
pep_0059,gene_012,ctrl,24h,3,206.40964085086458
pep_0059,gene_012,ctrl,24h,4,77.50106105352657
pep_0059,gene_012,ctrl,24h,5,83.61375332976797
pep_0059,gene_012,ctrl,24h,6,142.18109435268605
pep_0059,gene_012,ctrl,6h,1,202.5168566811255
pep_0059,gene_012,ctrl,6h,2,160.12099398499743
pep_0059,gene_012,ctrl,6h,3,184.7560082003499
pep_0059,gene_012,ctrl,6h,4,98.01405335729237
pep_0059,gene_012,ctrl,6h,5,101.4939408824387
pep_0059,gene_012,ctrl,6h,6,300.03958392197524
pep_0059,gene_012,drug,0h,1,230.62116785868017
pep_0059,gene_012,drug,0h,2,228.3866732553333
pep_0059,gene_012,drug,0h,3,262.7895894951272
pep_0059,gene_012,drug,0h,4,205.78969568196453
pep_0059,gene_012,drug,0h,5,92.5371474057522
pep_0059,gene_012,drug,0h,6,120.3922319560812
pep_0059,gene_012,drug,24h,1,231.32347356154136
pep_0059,gene_012,drug,24h,2,135.3682453041754
pep_0059,gene_012,drug,24h,3,177.5142498012838
pep_0059,gene_012,drug,24h,4,127.2931995250716
pep_0059,gene_012,drug,24h,5,90.9074936034457
pep_0059,gene_012,drug,24h,6,172.8016535587966
pep_0059,gene_012,drug,6h,1,180.44630450119456
pep_0059,gene_012,drug,6h,2,204.74542740790764
pep_0059,gene_012,drug,6h,3,176.1029757840885
pep_0059,gene_012,drug,6h,4,192.46507202539584
pep_0059,gene_012,drug,6h,5,121.7482816199617
pep_0059,gene_012,drug,6h,6,182.1392809675991
pep_0060,gene_012,ctrl,0h,1,52.72758496626161
pep_0060,gene_012,ctrl,0h,2,60.99633536942451
pep_0060,gene_012,ctrl,0h,3,45.84348337828661
pep_0060,gene_012,ctrl,0h,4,120.92590672308113
pep_0060,gene_012,ctrl,0h,5,29.64065123027057
pep_0060,gene_012,ctrl,0h,6,64.10596486788614
pep_0060,gene_012,ctrl,24h,1,44.961800043159656
pep_0060,gene_012,ctrl,24h,2,46.42467588220676
pep_0060,gene_012,ctrl,24h,3,26.957937670480973
pep_0060,gene_012,ctrl,24h,4,32.600082615149134
pep_0060,gene_012,ctrl,24h,5,65.21919369948647
pep_0060,gene_012,ctrl,24h,6,94.28027138225485
pep_0060,gene_012,ctrl,6h,1,116.62643318831992
pep_0060,gene_012,ctrl,6h,2,57.32304946429934
pep_0060,gene_012,ctrl,6h,3,65.8218273421586
pep_0060,gene_012,ctrl,6h,4,67.77394689258614
pep_0060,gene_012,ctrl,6h,5,57.6276705340218
pep_0060,gene_012,ctrl,6h,6,34.42166214925692
pep_0060,gene_012,drug,0h,1,66.62221401492035
pep_0060,gene_012,drug,0h,2,174.56638712175658
pep_0060,gene_012,drug,0h,3,101.60699365364438
pep_0060,gene_012,drug,0h,4,63.444551498553245
pep_0060,gene_012,drug,0h,5,36.45782130818601
pep_0060,gene_012,drug,0h,6,54.19121089579705
pep_0060,gene_012,drug,24h,1,44.329974216732104
pep_0060,gene_012,drug,24h,2,95.82464404096471
pep_0060,gene_012,drug,24h,3,57.51670119195552
pep_0060,gene_012,drug,24h,4,52.94127917333335
pep_0060,gene_012,drug,24h,5,50.103378397418545
pep_0060,gene_012,drug,24h,6,47.67982601728388
pep_0060,gene_012,drug,6h,1,86.70069851249131
pep_0060,gene_012,drug,6h,2,29.9001290087017
pep_0060,gene_012,drug,6h,3,65.26741198718952
pep_0060,gene_012,drug,6h,4,72.96558831332253
pep_0060,gene_012,drug,6h,5,32.330697410936466
pep_0060,gene_012,drug,6h,6,36.85717379173105
pep_0061,gene_013,ctrl,0h,1,33.272586074662314
pep_0061,gene_013,ctrl,0h,2,57.54486449123858
pep_0061,gene_013,ctrl,0h,3,71.4818948442553
pep_0061,gene_013,ctrl,0h,4,53.965650762731016
pep_0061,gene_013,ctrl,0h,5,60.775270795985065
pep_0061,gene_013,ctrl,0h,6,54.94831748259998
pep_0061,gene_013,ctrl,24h,1,85.47090953237239
pep_0061,gene_013,ctrl,24h,2,29.35140880701725
pep_0061,gene_013,ctrl,24h,3,22.850411593621367
pep_0061,gene_013,ctrl,24h,4,58.22635517643915
pep_0061,gene_013,ctrl,24h,5,33.838840659485776
pep_0061,gene_013,ctrl,24h,6,36.81255170242416
pep_0061,gene_013,ctrl,6h,1,44.731449634638466
pep_0061,gene_013,ctrl,6h,2,40.89888307263668
pep_0061,gene_013,ctrl,6h,3,64.73970059773626
pep_0061,gene_013,ctrl,6h,4,66.65599877663398
pep_0061,gene_013,ctrl,6h,5,76.47620100390755
pep_0061,gene_013,ctrl,6h,6,59.40341764962615
pep_0061,gene_013,drug,0h,1,130.212803651664
pep_0061,gene_013,drug,0h,2,109.9642198641561
pep_0061,gene_013,drug,0h,3,51.92389037215088
pep_0061,gene_013,drug,0h,4,76.99604803537429
pep_0061,gene_013,drug,0h,5,58.741065049609
pep_0061,gene_013,drug,0h,6,71.59492865355357
pep_0061,gene_013,drug,24h,1,51.277245526750846
pep_0061,gene_013,drug,24h,2,111.03885425466027
pep_0061,gene_013,drug,24h,3,45.62744570770967
pep_0061,gene_013,drug,24h,4,49.21716726820065
pep_0061,gene_013,drug,24h,5,40.84631701902216
pep_0061,gene_013,drug,24h,6,52.107786670166064
pep_0061,gene_013,drug,6h,1,49.4260820103861
pep_0061,gene_013,drug,6h,2,80.05476898745158
pep_0061,gene_013,drug,6h,3,44.169083312102536
pep_0061,gene_013,drug,6h,4,40.102035532837334
pep_0061,gene_013,drug,6h,5,88.57947828852835
pep_0061,gene_013,drug,6h,6,37.95935583406989
pep_0062,gene_013,ctrl,0h,1,77.06782166234599
pep_0062,gene_013,ctrl,0h,2,49.128448100184094
pep_0062,gene_013,ctrl,0h,3,83.82099830780088
pep_0062,gene_013,ctrl,0h,4,81.0561216981138
pep_0062,gene_013,ctrl,0h,5,63.86280618028732
pep_0062,gene_013,ctrl,0h,6,54.0899278406257
pep_0062,gene_013,ctrl,24h,1,126.28418929079041
pep_0062,gene_013,ctrl,24h,2,106.98465609876416
pep_0062,gene_013,ctrl,24h,3,82.69827074113655
pep_0062,gene_013,ctrl,24h,4,73.57830136994575
pep_0062,gene_013,ctrl,24h,5,87.90648394985485
pep_0062,gene_013,ctrl,24h,6,126.50721491138827
pep_0062,gene_013,ctrl,6h,1,85.66346462420492
pep_0062,gene_013,ctrl,6h,2,40.65253714801855
pep_0062,gene_013,ctrl,6h,3,127.16098137989917
pep_0062,gene_013,ctrl,6h,4,139.5664961724413
pep_0062,gene_013,ctrl,6h,5,68.49534163762722
pep_0062,gene_013,ctrl,6h,6,100.39212368889417
pep_0062,gene_013,drug,0h,1,99.41881548021762
pep_0062,gene_013,drug,0h,2,97.33135933522446
pep_0062,gene_013,drug,0h,3,71.15164710748387
pep_0062,gene_013,drug,0h,4,174.50924588639728
pep_0062,gene_013,drug,0h,5,49.88717502811675
pep_0062,gene_013,drug,0h,6,69.79150383031867
pep_0062,gene_013,drug,24h,1,56.572039856416005
pep_0062,gene_013,drug,24h,2,110.4008145777284
pep_0062,gene_013,drug,24h,3,64.28074074579902
pep_0062,gene_013,drug,24h,4,94.95873803587705
pep_0062,gene_013,drug,24h,5,102.2666329937115
pep_0062,gene_013,drug,24h,6,93.27838065844051
pep_0062,gene_013,drug,6h,1,133.04747792928893
pep_0062,gene_013,drug,6h,2,42.51123821181005
pep_0062,gene_013,drug,6h,3,108.35692501151452
pep_0062,gene_013,drug,6h,4,111.22323599380186
pep_0062,gene_013,drug,6h,5,114.24236099133662
pep_0062,gene_013,drug,6h,6,81.5234606147646
pep_0063,gene_013,ctrl,0h,1,50.28374571686715
pep_0063,gene_013,ctrl,0h,2,49.60516862577304
pep_0063,gene_013,ctrl,0h,3,86.62205603201627
pep_0063,gene_013,ctrl,0h,4,90.10819246600262
pep_0063,gene_013,ctrl,0h,5,51.68086676351487
pep_0063,gene_013,ctrl,0h,6,65.365901024011265
pep_0063,gene_013,ctrl,24h,1,33.5478518160866
pep_0063,gene_013,ctrl,24h,2,78.48066710603152
pep_0063,gene_013,ctrl,24h,3,58.46674509588558
pep_0063,gene_013,ctrl,24h,4,60.144007807706735
pep_0063,gene_013,ctrl,24h,5,77.21309143905117
pep_0063,gene_013,ctrl,24h,6,88.17960455875773
pep_0063,gene_013,ctrl,6h,1,48.249656929603965
pep_0063,gene_013,ctrl,6h,2,78.11575933787437
pep_0063,gene_013,ctrl,6h,3,38.88915780322254
pep_0063,gene_013,ctrl,6h,4,58.019197718299345
pep_0063,gene_013,ctrl,6h,5,31.158086416419597
pep_0063,gene_013,ctrl,6h,6,85.50717735162586
pep_0063,gene_013,drug,0h,1,37.64244682392084
pep_0063,gene_013,drug,0h,2,54.561294168611504
pep_0063,gene_013,drug,0h,3,73.7795863125826
pep_0063,gene_013,drug,0h,4,32.76815483413685
pep_0063,gene_013,drug,0h,5,41.5648731211071
pep_0063,gene_013,drug,0h,6,122.30332828428752
pep_0063,gene_013,drug,24h,1,95.45768323875872
pep_0063,gene_013,drug,24h,2,29.382753206784027
pep_0063,gene_013,drug,24h,3,68.09393926960372
pep_0063,gene_013,drug,24h,4,66.9090427161417
pep_0063,gene_013,drug,24h,5,73.20968184638178
pep_0063,gene_013,drug,24h,6,32.98679240194571
pep_0063,gene_013,drug,6h,1,72.99538350081224
pep_0063,gene_013,drug,6h,2,48.98223553028864
pep_0063,gene_013,drug,6h,3,85.37947944498609
pep_0063,gene_013,drug,6h,4,43.002528023538105
pep_0063,gene_013,drug,6h,5,61.74607615369612
pep_0063,gene_013,drug,6h,6,41.73362979745207
pep_0064,gene_013,ctrl,0h,1,153.51330398696393
pep_0064,gene_013,ctrl,0h,2,76.78718145079283
pep_0064,gene_013,ctrl,0h,3,152.73945777190943
pep_0064,gene_013,ctrl,0h,4,124.46832401809249
pep_0064,gene_013,ctrl,0h,5,104.3820666821057
pep_0064,gene_013,ctrl,0h,6,41.14203156032741
pep_0064,gene_013,ctrl,24h,1,61.22175941471872
pep_0064,gene_013,ctrl,24h,2,129.1667230766041
pep_0064,gene_013,ctrl,24h,3,63.985907997854675
pep_0064,gene_013,ctrl,24h,4,41.96116835234679
pep_0064,gene_013,ctrl,24h,5,68.59705400053954
pep_0064,gene_013,ctrl,24h,6,35.563371514893724
pep_0064,gene_013,ctrl,6h,1,51.94453478251381
pep_0064,gene_013,ctrl,6h,2,176.78016434620628
pep_0064,gene_013,ctrl,6h,3,148.6551760381441
pep_0064,gene_013,ctrl,6h,4,73.00827153109984
pep_0064,gene_013,ctrl,6h,5,48.115526605231274
pep_0064,gene_013,ctrl,6h,6,77.44053787746388
pep_0064,gene_013,drug,0h,1,58.149714469490014
pep_0064,gene_013,drug,0h,2,47.39977320981784
pep_0064,gene_013,drug,0h,3,151.09919920530118
pep_0064,gene_013,drug,0h,4,69.60195207899173
pep_0064,gene_013,drug,0h,5,82.72024665925207
pep_0064,gene_013,drug,0h,6,110.21335083708753
pep_0064,gene_013,drug,24h,1,78.60480656346382
pep_0064,gene_013,drug,24h,2,84.5530284260473
pep_0064,gene_013,drug,24h,3,59.641933550918964
pep_0064,gene_013,drug,24h,4,70.43255346776735
pep_0064,gene_013,drug,24h,5,101.74300134981445
pep_0064,gene_013,drug,24h,6,42.07323776741808
pep_0064,gene_013,drug,6h,1,60.191748670767105
pep_0064,gene_013,drug,6h,2,108.47664696454005
pep_0064,gene_013,drug,6h,3,77.48227383024839
pep_0064,gene_013,drug,6h,4,103.01242030134712
pep_0064,gene_013,drug,6h,5,119.60597032869265
pep_0064,gene_013,drug,6h,6,45.718668007214724
pep_0065,gene_013,ctrl,0h,1,163.2210662558446
pep_0065,gene_013,ctrl,0h,2,80.21056611969905
pep_0065,gene_013,ctrl,0h,3,103.58313391841811
pep_0065,gene_013,ctrl,0h,4,110.77863561151385
pep_0065,gene_013,ctrl,0h,5,44.289152274772476
pep_0065,gene_013,ctrl,0h,6,55.55350108958407
pep_0065,gene_013,ctrl,24h,1,73.34332690054218
pep_0065,gene_013,ctrl,24h,2,138.6642410763113
pep_0065,gene_013,ctrl,24h,3,118.06760878963715
pep_0065,gene_013,ctrl,24h,4,90.36806947517202
pep_0065,gene_013,ctrl,24h,5,142.7545800204267
pep_0065,gene_013,ctrl,24h,6,140.15865406039316
pep_0065,gene_013,ctrl,6h,1,55.85368440577462
pep_0065,gene_013,ctrl,6h,2,28.652058859299554
pep_0065,gene_013,ctrl,6h,3,121.03583238830818
pep_0065,gene_013,ctrl,6h,4,97.08810308142048
pep_0065,gene_013,ctrl,6h,5,79.02426242033992
pep_0065,gene_013,ctrl,6h,6,132.31059682333947
pep_0065,gene_013,drug,0h,1,74.21063728367511
pep_0065,gene_013,drug,0h,2,132.54068766192125
pep_0065,gene_013,drug,0h,3,139.55466709395048
pep_0065,gene_013,drug,0h,4,167.08150546028511
pep_0065,gene_013,drug,0h,5,157.7064094390891
pep_0065,gene_013,drug,0h,6,209.14320822843732
pep_0065,gene_013,drug,24h,1,103.32907589329673
pep_0065,gene_013,drug,24h,2,66.31172660212445
pep_0065,gene_013,drug,24h,3,109.56441486834767
pep_0065,gene_013,drug,24h,4,138.0649665257047
pep_0065,gene_013,drug,24h,5,80.0541238375206
pep_0065,gene_013,drug,24h,6,169.4620148339502
pep_0065,gene_013,drug,6h,1,40.02542432956219
pep_0065,gene_013,drug,6h,2,74.14218960983439
pep_0065,gene_013,drug,6h,3,109.46859997414221
pep_0065,gene_013,drug,6h,4,150.74782608152842
pep_0065,gene_013,drug,6h,5,111.264214751978
pep_0065,gene_013,drug,6h,6,85.13333103467721
pep_0066,gene_014,ctrl,0h,1,47.618839597724374
pep_0066,gene_014,ctrl,0h,2,77.23040014252824
pep_0066,gene_014,ctrl,0h,3,46.472202595911504
pep_0066,gene_014,ctrl,0h,4,79.67060914970868
pep_0066,gene_014,ctrl,0h,5,80.75702864879831
pep_0066,gene_014,ctrl,0h,6,29.06420131376029
pep_0066,gene_014,ctrl,24h,1,36.50691934249273
pep_0066,gene_014,ctrl,24h,2,58.655128499110404
pep_0066,gene_014,ctrl,24h,3,42.49547175667441
pep_0066,gene_014,ctrl,24h,4,58.993705618488235
pep_0066,gene_014,ctrl,24h,5,81.66989001430498
pep_0066,gene_014,ctrl,24h,6,35.51990546753562
pep_0066,gene_014,ctrl,6h,1,15.003419511239192
pep_0066,gene_014,ctrl,6h,2,126.7860222687017
pep_0066,gene_014,ctrl,6h,3,57.14574440618507
pep_0066,gene_014,ctrl,6h,4,64.20604951834241
pep_0066,gene_014,ctrl,6h,5,27.95406556700503
pep_0066,gene_014,ctrl,6h,6,95.46705766185248
pep_0066,gene_014,drug,0h,1,81.68293921384
pep_0066,gene_014,drug,0h,2,60.76848772121482
pep_0066,gene_014,drug,0h,3,40.05318668907244
pep_0066,gene_014,drug,0h,4,79.43771352031733
pep_0066,gene_014,drug,0h,5,64.71872253350142
pep_0066,gene_014,drug,0h,6,65.41681266857994
pep_0066,gene_014,drug,24h,1,53.71106580059259
pep_0066,gene_014,drug,24h,2,35.584214760583954
pep_0066,gene_014,drug,24h,3,51.05984742650211
pep_0066,gene_014,drug,24h,4,55.37862877856522
pep_0066,gene_014,drug,24h,5,67.14013514524201
pep_0066,gene_014,drug,24h,6,75.86684330679553
pep_0066,gene_014,drug,6h,1,55.54073837439196
pep_0066,gene_014,drug,6h,2,127.14092768048796
pep_0066,gene_014,drug,6h,3,55.28585867500038
pep_0066,gene_014,drug,6h,4,44.1441570766613
pep_0066,gene_014,drug,6h,5,77.50611922269898
pep_0066,gene_014,drug,6h,6,99.73608074810917
pep_0067,gene_014,ctrl,0h,1,104.01582475885576
pep_0067,gene_014,ctrl,0h,2,115.54372676675865
pep_0067,gene_014,ctrl,0h,3,67.615602732904
pep_0067,gene_014,ctrl,0h,4,97.72233229611719
pep_0067,gene_014,ctrl,0h,5,80.7335045316623
pep_0067,gene_014,ctrl,0h,6,99.62558283874806
pep_0067,gene_014,ctrl,24h,1,47.662810163721844
pep_0067,gene_014,ctrl,24h,2,52.89096114162666
pep_0067,gene_014,ctrl,24h,3,32.75525703991158
pep_0067,gene_014,ctrl,24h,4,105.16314496118713
pep_0067,gene_014,ctrl,24h,5,110.81141554626129
pep_0067,gene_014,ctrl,24h,6,117.63519119766329
pep_0067,gene_014,ctrl,6h,1,40.91235818815094
pep_0067,gene_014,ctrl,6h,2,54.05498651590481
pep_0067,gene_014,ctrl,6h,3,74.0912651983175
pep_0067,gene_014,ctrl,6h,4,83.38428699756285
pep_0067,gene_014,ctrl,6h,5,57.17798002546333
pep_0067,gene_014,ctrl,6h,6,69.98385855372844
